site_id,site_name,waterbody,lat,lon,sample_datetime_local,ecoli_cfu_100ml,qualifier,method,temp_c,notes
CCS,CCS,,35.5155,-83.2985,2025-07-07 00:00,9.7,,Colilert-18,,
CCS,CCS,,35.5155,-83.2985,2025-07-14 00:00,13.4,,Colilert-18,,
CCS,CCS,,35.5155,-83.2985,2025-07-28 00:00,235.9,,Colilert-18,,
CCS,CCS,,35.5155,-83.2985,2025-08-04 00:00,34.5,,Colilert-18,,
CCS,CCS,,35.5155,-83.2985,2025-08-11 00:00,18.3,,Colilert-18,,
WHITETREE,Whitetree,,35.4691,-83.2809,2025-06-10 00:00,122.3,,Colilert-18,,
WHITETREE,Whitetree,,35.4691,-83.2809,2025-06-16 00:00,248.1,,Colilert-18,,
WHITETREE,Whitetree,,35.4691,-83.2809,2025-06-23 00:00,2419.6,,Colilert-18,,
WHITETREE,Whitetree,,35.4691,-83.2809,2025-06-30 00:00,206.4,,Colilert-18,,
WHITETREE,Whitetree,,35.4691,-83.2809,2025-07-07 00:00,61.8,,Colilert-18,,
WHITETREE,Whitetree,,35.4691,-83.2809,2025-07-14 00:00,86.7,,Colilert-18,,
WHITETREE,Whitetree,,35.4691,-83.2809,2025-07-28 00:00,78.2,,Colilert-18,,
WHITETREE,Whitetree,,35.4691,-83.2809,2025-08-04 00:00,108.6,,Colilert-18,,
WHITETREE,Whitetree,,35.4691,-83.2809,2025-08-11 00:00,123.4,,Colilert-18,,
HAPPYHOLID,Happy Holiday,,35.4719,-83.2504,2025-06-10 00:00,290.9,,Colilert-18,,
HAPPYHOLID,Happy Holiday,,35.4719,-83.2504,2025-06-16 00:00,178.5,,Colilert-18,,
HAPPYHOLID,Happy Holiday,,35.4719,-83.2504,2025-06-23 00:00,1986.3,,Colilert-18,,
HAPPYHOLID,Happy Holiday,,35.4719,-83.2504,2025-06-30 00:00,1986.3,,Colilert-18,,
HAPPYHOLID,Happy Holiday,,35.4719,-83.2504,2025-07-07 00:00,93.2,,Colilert-18,,
HAPPYHOLID,Happy Holiday,,35.4719,-83.2504,2025-07-14 00:00,186.0,,Colilert-18,,
HAPPYHOLID,Happy Holiday,,35.4719,-83.2504,2025-07-28 00:00,235.9,,Colilert-18,,
HAPPYHOLID,Happy Holiday,,35.4719,-83.2504,2025-08-04 00:00,259.5,,Colilert-18,,
HAPPYHOLID,Happy Holiday,,35.4719,-83.2504,2025-08-11 00:00,93.3,,Colilert-18,,
SMILEYLITT,Smiley Littlejohn,,35.4681,-83.2415,2025-06-10 00:00,143.9,,Colilert-18,,
SMILEYLITT,Smiley Littlejohn,,35.4681,-83.2415,2025-06-16 00:00,25.6,,Colilert-18,,
SMILEYLITT,Smiley Littlejohn,,35.4681,-83.2415,2025-06-23 00:00,35.0,,Colilert-18,,
SMILEYLITT,Smiley Littlejohn,,35.4681,-83.2415,2025-06-30 00:00,104.6,,Colilert-18,,
SMILEYLITT,Smiley Littlejohn,,35.4681,-83.2415,2025-07-07 00:00,21.6,,Colilert-18,,
SMILEYLITT,Smiley Littlejohn,,35.4681,-83.2415,2025-07-14 00:00,32.3,,Colilert-18,,
SMILEYLITT,Smiley Littlejohn,,35.4681,-83.2415,2025-07-28 00:00,33.1,,Colilert-18,,
SMILEYLITT,Smiley Littlejohn,,35.4681,-83.2415,2025-08-04 00:00,52.0,,Colilert-18,,
SMILEYLITT,Smiley Littlejohn,,35.4681,-83.2415,2025-08-11 00:00,37.3,,Colilert-18,,
LONGMAN,Longman,,35.506,-83.3009,2025-06-23 00:00,90.6,,Colilert-18,,
LONGMAN,Longman,,35.506,-83.3009,2025-06-30 00:00,54.2,,Colilert-18,,
LONGMAN,Longman,,35.506,-83.3009,2025-07-07 00:00,21.8,,Colilert-18,,
LONGMAN,Longman,,35.506,-83.3009,2025-07-14 00:00,48.0,,Colilert-18,,
LONGMAN,Longman,,35.506,-83.3009,2025-07-28 00:00,16.0,,Colilert-18,,
LONGMAN,Longman,,35.506,-83.3009,2025-08-04 00:00,33.6,,Colilert-18,,
LONGMAN,Longman,,35.506,-83.3009,2025-08-11 00:00,30.5,,Colilert-18,,
KOA,KOA,,35.5292,-83.2833,2025-06-23 00:00,14.4,,Colilert-18,,
KOA,KOA,,35.5292,-83.2833,2025-06-30 00:00,7.5,,Colilert-18,,
KOA,KOA,,35.5292,-83.2833,2025-07-07 00:00,4.1,,Colilert-18,,
KOA,KOA,,35.5292,-83.2833,2025-07-14 00:00,12.0,,Colilert-18,,
JENKINS,Jenkins,,35.4615,-83.3532,2025-06-23 00:00,275.5,,Colilert-18,,
JENKINS,Jenkins,,35.4615,-83.3532,2025-06-30 00:00,172.2,,Colilert-18,,
JENKINS,Jenkins,,35.4615,-83.3532,2025-07-07 00:00,50.4,,Colilert-18,,
JENKINS,Jenkins,,35.4615,-83.3532,2025-07-14 00:00,117.8,,Colilert-18,,
JENKINS,Jenkins,,35.4615,-83.3532,2025-07-28 00:00,122.3,,Colilert-18,,
JENKINS,Jenkins,,35.4615,-83.3532,2025-08-04 00:00,238.2,,Colilert-18,,
JENKINS,Jenkins,,35.4615,-83.3532,2025-08-11 00:00,116.9,,Colilert-18,,
BLUEHOLE,Blue Hole,,35.3834,-83.871,2025-06-18 00:00,6.3,,Colilert-18,,
BLUEHOLE,Blue Hole,,35.3834,-83.871,2025-07-01 00:00,57.3,,Colilert-18,,
BLUEHOLE,Blue Hole,,35.3834,-83.871,2025-07-30 00:00,5.2,,Colilert-18,,
CHEOAHBEAC,Cheoah Beach,,35.3718,-83.8686,2025-06-18 00:00,1.0,,Colilert-18,,
CHEOAHBEAC,Cheoah Beach,,35.3718,-83.8686,2025-07-01 00:00,30.1,,Colilert-18,,
CHEOAHBEAC,Cheoah Beach,,35.3718,-83.8686,2025-07-30 00:00,1.5,,Colilert-18,,
BIGSNOWBIR,Big Snowbird - Rec Center,,35.3029,-83.8746,2025-06-18 00:00,88.4,,Colilert-18,,
BIGSNOWBIR,Big Snowbird - Rec Center,,35.3029,-83.8746,2025-07-01 00:00,53.7,,Colilert-18,,
BIGSNOWBIR,Big Snowbird - Rec Center,,35.3029,-83.8746,2025-07-30 00:00,290.9,,Colilert-18,,
LITTLESNOW,Little Snowbird - Singing Ground,,35.2772,-83.8771,2025-06-18 00:00,72.7,,Colilert-18,,
LITTLESNOW,Little Snowbird - Singing Ground,,35.2772,-83.8771,2025-07-01 00:00,37.3,,Colilert-18,,
LITTLESNOW,Little Snowbird - Singing Ground,,35.2772,-83.8771,2025-07-30 00:00,22.3,,Colilert-18,,
CHEKELELEE,Chekelelee Straight,,35.3164,-83.8657,2025-07-01 00:00,79.8,,Colilert-18,,
CHEKELELEE,Chekelelee Straight,,35.3164,-83.8657,2025-07-30 00:00,37.2,,Colilert-18,,
