site_id,site_name,waterbody,lat,lon,sample_datetime_local,ecoli_cfu_100ml,qualifier,method,temp_c,notes
KITUWAH,Kituwah,,35.4428,-83.3969,2025-06-10 00:00,146.7,,Colilert-18,,
KITUWAH,Kituwah,,35.4428,-83.3969,2025-06-16 00:00,88.2,,Colilert-18,,
KITUWAH,Kituwah,,35.4428,-83.3969,2025-06-23 00:00,59.1,,Colilert-18,,
KITUWAH,Kituwah,,35.4428,-83.3969,2025-06-30 00:00,365.4,,Colilert-18,,
KITUWAH,Kituwah,,35.4428,-83.3969,2025-07-07 00:00,36.8,,Colilert-18,,
KITUWAH,Kituwah,,35.4428,-83.3969,2025-07-14 00:00,307.6,,Colilert-18,,
KITUWAH,Kituwah,,35.4428,-83.3969,2025-07-28 00:00,29.1,,Colilert-18,,
KITUWAH,Kituwah,,35.4428,-83.3969,2025-08-04 00:00,154.1,,Colilert-18,,
KITUWAH,Kituwah,,35.4428,-83.3969,2025-08-11 00:00,56.2,,Colilert-18,,
ISLAND,Island,,35.477,-83.3196,2025-06-10 00:00,31.1,,Colilert-18,,
ISLAND,Island,,35.477,-83.3196,2025-06-16 00:00,61.3,,Colilert-18,,
ISLAND,Island,,35.477,-83.3196,2025-06-23 00:00,38.4,,Colilert-18,,
ISLAND,Island,,35.477,-83.3196,2025-06-30 00:00,45.7,,Colilert-18,,
ISLAND,Island,,35.477,-83.3196,2025-07-07 00:00,16.1,,Colilert-18,,
ISLAND,Island,,35.477,-83.3196,2025-07-14 00:00,70.3,,Colilert-18,,
ISLAND,Island,,35.477,-83.3196,2025-07-28 00:00,39.1,,Colilert-18,,
ISLAND,Island,,35.477,-83.3196,2025-08-04 00:00,90.9,,Colilert-18,,
ISLAND,Island,,35.477,-83.3196,2025-08-11 00:00,40.4,,Colilert-18,,
PINEYGROVE,Piney Grove,,35.501,-83.2987,2025-06-10 00:00,42.6,,Colilert-18,,
PINEYGROVE,Piney Grove,,35.501,-83.2987,2025-06-16 00:00,28.8,,Colilert-18,,
PINEYGROVE,Piney Grove,,35.501,-83.2987,2025-06-23 00:00,125.0,,Colilert-18,,
PINEYGROVE,Piney Grove,,35.501,-83.2987,2025-06-30 00:00,44.8,,Colilert-18,,
PINEYGROVE,Piney Grove,,35.501,-83.2987,2025-07-07 00:00,32.3,,Colilert-18,,
PINEYGROVE,Piney Grove,,35.501,-83.2987,2025-07-14 00:00,38.4,,Colilert-18,,
PINEYGROVE,Piney Grove,,35.501,-83.2987,2025-07-28 00:00,64.5,,Colilert-18,,
PINEYGROVE,Piney Grove,,35.501,-83.2987,2025-08-04 00:00,36.9,,Colilert-18,,
PINEYGROVE,Piney Grove,,35.501,-83.2987,2025-08-11 00:00,24.6,,Colilert-18,,
CCS,CCS,,35.5155,-83.2985,2025-06-10 00:00,11.0,,Colilert-18,,
CCS,CCS,,35.5155,-83.2985,2025-06-16 00:00,21.3,,Colilert-18,,
CCS,CCS,,35.5155,-83.2985,2025-06-23 00:00,16.1,,Colilert-18,,
CCS,CCS,,35.5155,-83.2985,2025-06-30 00:00,21.1,,Colilert-18,,
